x,y,z,distances,vx,vy,vz,velocity,Energy,Initial energy,Energy ratio,Energy ratio difference,r_primed,v_los,theta
-1.7888321006110677,-0.6333009683813978,98.26400167969186,98.28232301134936,-107.44865930919289,-38.04009329246252,-104.27512566238036,154.48483717487446,-7036727077.154011,-11184989728.89861,1.000032114187234,3.2114187233922564e-05,2.5719021304944922,-102.05490038346593,0.019309123328907447
-0.37056777997630286,0.7569418591255537,102.47531214139084,102.47877770510895,-22.56406009131141,46.0905737569268,150.7230118783162,159.2196724865306,-6513983251.542067,-10662246044.413576,1.00003467259531,3.467259530998135e-05,2.614852128700579,151.13994755025135,0.008224058623512798
-0.6335047849713352,-1.686591655776617,101.77426766108638,101.79021307412795,-37.50061238803216,-99.83858281832995,105.02860500735092,149.68315342228763,-7556089957.956391,-11704352464.237091,1.000029923582378,2.992358237796644e-05,2.5286252112746688,106.89979682287841,0.017700500323795568
0.039992190438302926,-0.19638848656996902,101.03472328778382,101.03492206980714,-1.9861474849914171,9.753316695261127,-51.387859308764774,-52.342946542276344,-20815082817.050888,-24963331879.67166,1.0000114828947104,1.1482894710423963e-05,1.0539545033992115,-51.40750256151317,0.0019836628823077023
0.6274489253937048,0.44035630459059044,99.27827098592459,99.28123032972368,-31.31873391062916,-21.980118813157894,36.0246675587768,-52.55250126802449,-20821722663.5443,-24969971690.28817,1.000011480940958,1.148094095793084e-05,1.0528526006657615,35.72817043529503,0.007721118401613123
-0.38244153526976343,0.5625519106318612,100.52024109475829,100.52254272514394,41.70986626302929,-61.353076992320695,-56.7385717442816,-93.3979578132542,-21925357460.343277,-26073597036.681267,1.0000113318354638,1.1331835463757045e-05,0.8563743204524255,-57.23930803078371,0.0067670889468271515
1.1049450705318402,2.1224545122681655,99.12125886776933,99.1501370462839,65.86873942878685,126.52520649805071,-52.38411592388127,151.95859407890833,-7311321369.543708,-11459583945.06288,1.0000309171082296,3.091710822955562e-05,2.54909841767911,-48.926348719057614,0.024135915588112518
-2.5889948425173497,0.6384676426923201,99.56946469150525,99.60516469630606,-161.64125933040518,39.86207778851788,-26.880034022633783,168.63990688029656,-5442372760.81648,-9590635826.970585,1.000041456643964,4.1456643963933004e-05,2.7010916084441123,-22.413411711601807,0.02677448823157972
-1.4388433083477612,-0.16409651876828527,98.82188054818928,98.8324909774819,-54.8458974212143,-6.2550388797217655,-44.90761310079178,71.16102648033963,-14576423356.10194,-18724683040.38268,1.0000156868347234,1.5686834723416254e-05,1.8668591741702825,-44.093937649956565,0.014653301662459846
0.35687683303953366,-0.9288310532338032,97.85702124354323,97.8620799638894,19.7814101916885,-51.48439562833282,-118.78367517581492,130.96376854176134,-9478597915.561752,-13626859829.768356,1.000023909214014,2.3909214013961844e-05,2.3627200744135393,-118.21674745617403,0.010167869964420097
-0.6081629291400349,-1.6402861745802841,99.15045391943289,99.16588583435579,-25.34084200183812,-68.34719907477947,-35.39875906506083,81.03437565672907,-13839866610.715153,-17988126710.86425,1.0000164937633886,1.6493763388636395e-05,1.9447697616700914,-34.10732102693805,0.017642063961309636
1.6018522369587658,-0.018304404675090386,99.57452980495648,99.58741512620179,41.985586137330394,-0.4797703192885107,-11.151849784087956,43.44402578561663,-16436335159.01028,-20584593510.98874,1.0000139881935026,1.3988193502623147e-05,1.6574952570522379,-10.474985322190749,0.01608663010631604
0.3919210209272988,1.2970532443800122,97.87032479459664,97.8797038440822,23.16391872631475,76.66043496579893,-125.8713381963923,149.18774480249832,-7609059581.887709,-11757322072.98105,1.0000297169952654,2.9716995265438584e-05,2.5241762390750937,-124.75066003978121,0.013843680134614159
-0.7607453609601296,-0.5976180314069508,99.89960569885748,99.90428969570267,53.45398166963576,41.99179506787289,7.05423313555863,-68.34033373119276,-21291912625.345444,-25440158612.058823,1.0000113692177355,1.1369217735479609e-05,0.9726046634614558,6.395673180927255,0.009683512631917168
1.0043435295163985,-1.4922421695893973,101.14971035562169,101.16570267459296,49.070501981384695,-72.90839258435035,56.17287573976283,104.30215646291147,-11942640881.201595,-16090901876.990528,1.0000190452485045,1.9045248504490075e-05,2.134789572722823,57.72658693223778,0.017781147705079964
-0.9815793971536151,2.4232919195022298,99.01884901147099,99.05336087885424,-62.747275317700655,154.9084727013293,-62.71988937826882,178.5150973953634,-4273475840.206543,-8421739182.21751,1.000052741448127,5.274144812705828e-05,2.7925792920403683,-58.28647632244583,0.026398377185691144
-0.6839901568650171,-0.04932343831880112,100.57324289055863,100.57558083779361,65.05107463946828,4.690919358047069,-54.51842498902713,-85.00532747691496,-21727564014.981163,-25875805943.43639,1.0000113271435462,1.1327143546235874e-05,0.8938024098377907,-54.96185475046666,0.00681846973469555
0.379905521445995,-0.7376373371969904,100.32306440828039,100.32649545017719,-36.589115296069096,71.04265680231138,-31.11468566615756,-85.75515207720075,-21745802420.724167,-25894044142.568703,1.000011327115986,1.132711598605951e-05,0.8903974721155603,-31.77450505912743,0.008270303077310696
1.2352716975898925,2.0780945816351726,98.56345268121768,98.59309599408938,79.33585484056223,133.46651622895047,-92.26286798027752,180.6098713401944,-4019488575.1326094,-8167751974.245876,1.000056062264125,5.606226412502302e-05,2.812124011523803,-88.42799137412652,0.024522570767006147
-1.5112817616361032,1.0938736026107696,101.57312300538727,101.59025469546317,-86.56828707865355,62.65857662177973,90.11063813340927,139.78588146450932,-8592692510.74645,-12740954708.915775,1.0000263450547793,2.63450547792754e-05,2.440337683932553,92.05793011933604,0.018365179654326314
